Fra_dato;Til_dato;Maengde;Maaleenhed
09-05-2020 00:00:00;09-05-2020 01:00:00;0.05;KWH
09-05-2020 01:00:00;09-05-2020 02:00:00;0.054;KWH
09-05-2020 02:00:00;09-05-2020 03:00:00;0.049;KWH
09-05-2020 03:00:00;09-05-2020 04:00:00;0.054;KWH
09-05-2020 04:00:00;09-05-2020 05:00:00;0.047;KWH
09-05-2020 05:00:00;09-05-2020 06:00:00;0.035;KWH
09-05-2020 06:00:00;09-05-2020 07:00:00;0.008;KWH
09-05-2020 07:00:00;09-05-2020 08:00:00;0.008;KWH
09-05-2020 08:00:00;09-05-2020 09:00:00;0.008;KWH
09-05-2020 09:00:00;09-05-2020 10:00:00;0.008;KWH
09-05-2020 10:00:00;09-05-2020 11:00:00;0.008;KWH
09-05-2020 11:00:00;09-05-2020 12:00:00;0.062;KWH
09-05-2020 12:00:00;09-05-2020 13:00:00;0.234;KWH
09-05-2020 13:00:00;09-05-2020 14:00:00;0.751;KWH
09-05-2020 14:00:00;09-05-2020 15:00:00;0.16;KWH
09-05-2020 15:00:00;09-05-2020 16:00:00;0.109;KWH
09-05-2020 16:00:00;09-05-2020 17:00:00;0.108;KWH
09-05-2020 17:00:00;09-05-2020 18:00:00;0.076;KWH
09-05-2020 18:00:00;09-05-2020 19:00:00;0.057;KWH
09-05-2020 19:00:00;09-05-2020 20:00:00;0.116;KWH
09-05-2020 20:00:00;09-05-2020 21:00:00;0.143;KWH
09-05-2020 21:00:00;09-05-2020 22:00:00;0.173;KWH
09-05-2020 22:00:00;09-05-2020 23:00:00;0.182;KWH
09-05-2020 23:00:00;10-05-2020 00:00:00;0.171;KWH
10-05-2020 00:00:00;10-05-2020 01:00:00;0.154;KWH
10-05-2020 01:00:00;10-05-2020 02:00:00;0.155;KWH
10-05-2020 02:00:00;10-05-2020 03:00:00;0.173;KWH
10-05-2020 03:00:00;10-05-2020 04:00:00;0.165;KWH
10-05-2020 04:00:00;10-05-2020 05:00:00;0.156;KWH
10-05-2020 05:00:00;10-05-2020 06:00:00;0.167;KWH
10-05-2020 06:00:00;10-05-2020 07:00:00;0.146;KWH
10-05-2020 07:00:00;10-05-2020 08:00:00;0.117;KWH
10-05-2020 08:00:00;10-05-2020 09:00:00;0.109;KWH
10-05-2020 09:00:00;10-05-2020 10:00:00;0.098;KWH
10-05-2020 10:00:00;10-05-2020 11:00:00;0.058;KWH
10-05-2020 11:00:00;10-05-2020 12:00:00;0.042;KWH
10-05-2020 12:00:00;10-05-2020 13:00:00;0.051;KWH
10-05-2020 13:00:00;10-05-2020 14:00:00;0.055;KWH
10-05-2020 14:00:00;10-05-2020 15:00:00;0.053;KWH
10-05-2020 15:00:00;10-05-2020 16:00:00;0.043;KWH
10-05-2020 16:00:00;10-05-2020 17:00:00;0.048;KWH
10-05-2020 17:00:00;10-05-2020 18:00:00;0.059;KWH
10-05-2020 18:00:00;10-05-2020 19:00:00;0.058;KWH
10-05-2020 19:00:00;10-05-2020 20:00:00;0.055;KWH
10-05-2020 20:00:00;10-05-2020 21:00:00;0.063;KWH
10-05-2020 21:00:00;10-05-2020 22:00:00;0.094;KWH
10-05-2020 22:00:00;10-05-2020 23:00:00;0.096;KWH
10-05-2020 23:00:00;11-05-2020 00:00:00;0.098;KWH
11-05-2020 00:00:00;11-05-2020 01:00:00;0.09;KWH
11-05-2020 01:00:00;11-05-2020 02:00:00;0.085;KWH
11-05-2020 02:00:00;11-05-2020 03:00:00;0.092;KWH
11-05-2020 03:00:00;11-05-2020 04:00:00;0.091;KWH
11-05-2020 04:00:00;11-05-2020 05:00:00;0.078;KWH
11-05-2020 05:00:00;11-05-2020 06:00:00;0.09;KWH
11-05-2020 06:00:00;11-05-2020 07:00:00;0.057;KWH
11-05-2020 07:00:00;11-05-2020 08:00:00;0.056;KWH
11-05-2020 08:00:00;11-05-2020 09:00:00;0.034;KWH
11-05-2020 09:00:00;11-05-2020 10:00:00;0.045;KWH
11-05-2020 10:00:00;11-05-2020 11:00:00;0.052;KWH
11-05-2020 11:00:00;11-05-2020 12:00:00;0.057;KWH
11-05-2020 12:00:00;11-05-2020 13:00:00;0.551;KWH
11-05-2020 13:00:00;11-05-2020 14:00:00;0.039;KWH
11-05-2020 14:00:00;11-05-2020 15:00:00;0.089;KWH
11-05-2020 15:00:00;11-05-2020 16:00:00;0.112;KWH
11-05-2020 16:00:00;11-05-2020 17:00:00;0.114;KWH
11-05-2020 17:00:00;11-05-2020 18:00:00;0.096;KWH
11-05-2020 18:00:00;11-05-2020 19:00:00;0.146;KWH
11-05-2020 19:00:00;11-05-2020 20:00:00;0.082;KWH
11-05-2020 20:00:00;11-05-2020 21:00:00;0.122;KWH
11-05-2020 21:00:00;11-05-2020 22:00:00;0.146;KWH
11-05-2020 22:00:00;11-05-2020 23:00:00;0.111;KWH
11-05-2020 23:00:00;12-05-2020 00:00:00;0.105;KWH
12-05-2020 00:00:00;12-05-2020 01:00:00;0.099;KWH
12-05-2020 01:00:00;12-05-2020 02:00:00;0.083;KWH
12-05-2020 02:00:00;12-05-2020 03:00:00;0.217;KWH
12-05-2020 03:00:00;12-05-2020 04:00:00;0.1;KWH
12-05-2020 04:00:00;12-05-2020 05:00:00;0.085;KWH
12-05-2020 05:00:00;12-05-2020 06:00:00;0.085;KWH
12-05-2020 06:00:00;12-05-2020 07:00:00;0.059;KWH
12-05-2020 07:00:00;12-05-2020 08:00:00;0.097;KWH
12-05-2020 08:00:00;12-05-2020 09:00:00;0.133;KWH
12-05-2020 09:00:00;12-05-2020 10:00:00;0.125;KWH
12-05-2020 10:00:00;12-05-2020 11:00:00;0.117;KWH
12-05-2020 11:00:00;12-05-2020 12:00:00;0.087;KWH
12-05-2020 12:00:00;12-05-2020 13:00:00;0.054;KWH
12-05-2020 13:00:00;12-05-2020 14:00:00;0.064;KWH
