HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2020-05-08T22:00:00+00:00,2020-05-09T00:00:00,DK2,160.5,21.51
2020-05-08T23:00:00+00:00,2020-05-09T01:00:00,DK2,154.6,20.72
2020-05-09T00:00:00+00:00,2020-05-09T02:00:00,DK2,155.87,20.89
2020-05-09T01:00:00+00:00,2020-05-09T03:00:00,DK2,156.77,21.01
2020-05-09T02:00:00+00:00,2020-05-09T04:00:00,DK2,164.15,22
2020-05-09T03:00:00+00:00,2020-05-09T05:00:00,DK2,162.14,21.73
2020-05-09T04:00:00+00:00,2020-05-09T06:00:00,DK2,157.51,21.11
2020-05-09T05:00:00+00:00,2020-05-09T07:00:00,DK2,157.51,21.11
2020-05-09T06:00:00+00:00,2020-05-09T08:00:00,DK2,157.14,21.06
2020-05-09T07:00:00+00:00,2020-05-09T09:00:00,DK2,151.02,20.24
2020-05-09T08:00:00+00:00,2020-05-09T10:00:00,DK2,140.2,18.79
2020-05-09T09:00:00+00:00,2020-05-09T11:00:00,DK2,141.84,19.01
2020-05-09T10:00:00+00:00,2020-05-09T12:00:00,DK2,137.14,18.38
2020-05-09T11:00:00+00:00,2020-05-09T13:00:00,DK2,126.32,16.93
2020-05-09T12:00:00+00:00,2020-05-09T14:00:00,DK2,119.53,16.02
2020-05-09T13:00:00+00:00,2020-05-09T15:00:00,DK2,110.06,14.75
2020-05-09T14:00:00+00:00,2020-05-09T16:00:00,DK2,119.76,16.05
2020-05-09T15:00:00+00:00,2020-05-09T17:00:00,DK2,157.51,21.11
2020-05-09T16:00:00+00:00,2020-05-09T18:00:00,DK2,201.24,26.97
2020-05-09T17:00:00+00:00,2020-05-09T19:00:00,DK2,273.17,36.61
2020-05-09T18:00:00+00:00,2020-05-09T20:00:00,DK2,253.62,33.99
2020-05-09T19:00:00+00:00,2020-05-09T21:00:00,DK2,211.01,28.28
2020-05-09T20:00:00+00:00,2020-05-09T22:00:00,DK2,197.06,26.41
2020-05-09T21:00:00+00:00,2020-05-09T23:00:00,DK2,171.09,22.93
2020-05-09T22:00:00+00:00,2020-05-10T00:00:00,DK2,154.43,20.7
2020-05-09T23:00:00+00:00,2020-05-10T01:00:00,DK2,144.8,19.41
2020-05-10T00:00:00+00:00,2020-05-10T02:00:00,DK2,142.49,19.1
2020-05-10T01:00:00+00:00,2020-05-10T03:00:00,DK2,136.45,18.29
2020-05-10T02:00:00+00:00,2020-05-10T04:00:00,DK2,122.57,16.43
2020-05-10T03:00:00+00:00,2020-05-10T05:00:00,DK2,119.36,16
2020-05-10T04:00:00+00:00,2020-05-10T06:00:00,DK2,111.9,15
2020-05-10T05:00:00+00:00,2020-05-10T07:00:00,DK2,95.19,12.76
2020-05-10T06:00:00+00:00,2020-05-10T08:00:00,DK2,104.52,14.01
2020-05-10T07:00:00+00:00,2020-05-10T09:00:00,DK2,102.73,13.77
2020-05-10T08:00:00+00:00,2020-05-10T10:00:00,DK2,94.3,12.64
2020-05-10T09:00:00+00:00,2020-05-10T11:00:00,DK2,92.95,12.46
2020-05-10T10:00:00+00:00,2020-05-10T12:00:00,DK2,87.43,11.72
2020-05-10T11:00:00+00:00,2020-05-10T13:00:00,DK2,48.79,6.54
2020-05-10T12:00:00+00:00,2020-05-10T14:00:00,DK2,44.39,5.95
2020-05-10T13:00:00+00:00,2020-05-10T15:00:00,DK2,42.67,5.72
2020-05-10T14:00:00+00:00,2020-05-10T16:00:00,DK2,46.33,6.21
2020-05-10T15:00:00+00:00,2020-05-10T17:00:00,DK2,53.64,7.19
2020-05-10T16:00:00+00:00,2020-05-10T18:00:00,DK2,90.27,12.1
2020-05-10T17:00:00+00:00,2020-05-10T19:00:00,DK2,108.25,14.51
2020-05-10T18:00:00+00:00,2020-05-10T20:00:00,DK2,109.89,14.73
2020-05-10T19:00:00+00:00,2020-05-10T21:00:00,DK2,111.83,14.99
2020-05-10T20:00:00+00:00,2020-05-10T22:00:00,DK2,109.66,14.7
2020-05-10T21:00:00+00:00,2020-05-10T23:00:00,DK2,75.35,10.1
2020-05-10T22:00:00+00:00,2020-05-11T00:00:00,DK2,43.19,5.79
2020-05-10T23:00:00+00:00,2020-05-11T01:00:00,DK2,15.07,2.02
2020-05-11T00:00:00+00:00,2020-05-11T02:00:00,DK2,0.97,0.13
2020-05-11T01:00:00+00:00,2020-05-11T03:00:00,DK2,-0.07,-0.01
2020-05-11T02:00:00+00:00,2020-05-11T04:00:00,DK2,0.15,0.02
2020-05-11T03:00:00+00:00,2020-05-11T05:00:00,DK2,27.9,3.74
2020-05-11T04:00:00+00:00,2020-05-11T06:00:00,DK2,141.45,18.96
2020-05-11T05:00:00+00:00,2020-05-11T07:00:00,DK2,169.05,22.66
2020-05-11T06:00:00+00:00,2020-05-11T08:00:00,DK2,186.13,24.95
2020-05-11T07:00:00+00:00,2020-05-11T09:00:00,DK2,167.85,22.5
2020-05-11T08:00:00+00:00,2020-05-11T10:00:00,DK2,150.25,20.14
2020-05-11T09:00:00+00:00,2020-05-11T11:00:00,DK2,142.27,19.07
2020-05-11T10:00:00+00:00,2020-05-11T12:00:00,DK2,122.79,16.46
2020-05-11T11:00:00+00:00,2020-05-11T13:00:00,DK2,105.56,14.15
2020-05-11T12:00:00+00:00,2020-05-11T14:00:00,DK2,64.98,8.71
2020-05-11T13:00:00+00:00,2020-05-11T15:00:00,DK2,59.76,8.01
2020-05-11T14:00:00+00:00,2020-05-11T16:00:00,DK2,60.2,8.07
2020-05-11T15:00:00+00:00,2020-05-11T17:00:00,DK2,103.62,13.89
2020-05-11T16:00:00+00:00,2020-05-11T18:00:00,DK2,136.75,18.33
