Fra_dato;Til_dato;Maengde;Maaleenhed
09-05-2020 00:00:00;09-05-2020 01:00:00;0;KWH
09-05-2020 01:00:00;09-05-2020 02:00:00;0;KWH
09-05-2020 02:00:00;09-05-2020 03:00:00;0;KWH
09-05-2020 03:00:00;09-05-2020 04:00:00;0;KWH
09-05-2020 04:00:00;09-05-2020 05:00:00;0;KWH
09-05-2020 05:00:00;09-05-2020 06:00:00;0.015;KWH
09-05-2020 06:00:00;09-05-2020 07:00:00;0.049;KWH
09-05-2020 07:00:00;09-05-2020 08:00:00;0.259;KWH
09-05-2020 08:00:00;09-05-2020 09:00:00;0.506;KWH
09-05-2020 09:00:00;09-05-2020 10:00:00;0.901;KWH
09-05-2020 10:00:00;09-05-2020 11:00:00;1.62;KWH
09-05-2020 11:00:00;09-05-2020 12:00:00;1.925;KWH
09-05-2020 12:00:00;09-05-2020 13:00:00;1.839;KWH
09-05-2020 13:00:00;09-05-2020 14:00:00;2.078;KWH
09-05-2020 14:00:00;09-05-2020 15:00:00;1.621;KWH
09-05-2020 15:00:00;09-05-2020 16:00:00;1.429;KWH
09-05-2020 16:00:00;09-05-2020 17:00:00;1.594;KWH
09-05-2020 17:00:00;09-05-2020 18:00:00;1.326;KWH
09-05-2020 18:00:00;09-05-2020 19:00:00;0.743;KWH
09-05-2020 19:00:00;09-05-2020 20:00:00;0.228;KWH
09-05-2020 20:00:00;09-05-2020 21:00:00;0.01;KWH
09-05-2020 21:00:00;09-05-2020 22:00:00;0;KWH
09-05-2020 22:00:00;09-05-2020 23:00:00;0;KWH
09-05-2020 23:00:00;10-05-2020 00:00:00;0;KWH
10-05-2020 00:00:00;10-05-2020 01:00:00;0;KWH
10-05-2020 01:00:00;10-05-2020 02:00:00;0;KWH
10-05-2020 02:00:00;10-05-2020 03:00:00;0;KWH
10-05-2020 03:00:00;10-05-2020 04:00:00;0;KWH
10-05-2020 04:00:00;10-05-2020 05:00:00;0;KWH
